Title,Price,Odometer,Transmission,Engine
2020 Jeep Grand Cherokee SRT Auto 4x4 MY21,"$119,990* ","21,796 km",Automatic,8cyl 6.4L Petrol
2016 Jeep Grand Cherokee SRT Night Edition Auto 4x4 MY16,"$79,800* ","92,382 km",Automatic,8cyl 6.4L Petrol
2021 SKODA Karoq 110TSI Auto FWD MY21,"$48,490 ","4,000 km",Automatic,4cyl 1.4L Turbo Petrol
2019 Toyota Kluger GX Auto AWD,"$46,990* ","18,604 km",Automatic,6cyl 3.5L Petrol
2017 Ford Everest Trend UA Auto 4WD,"$56,990* ","37,563 km",Automatic,5cyl 3.2L Turbo Diesel
2019 Toyota Fortuner GXL Auto 4x4,"$56,990* ","47,925 km",Automatic,4cyl 2.8L Turbo Diesel
2019 BMW X5 xDrive30d G05 Auto 4x4,"$119,900 ","18,451 km",Automatic,6cyl 3.0L Turbo Diesel
2018 Toyota C-HR Koba Auto 2WD,"$34,555* ","58,796 km",Automatic,4cyl 1.2L Turbo Petrol
2021 Volkswagen T-Cross 85TSI CityLife C1 Auto FWD MY21,"$35,390 ","4,528 km",Automatic,3cyl 1.0L Turbo Petrol
2020 Honda HR-V VTi Auto MY20,"$29,999* ","17,105 km",Automatic,4cyl 1.8L Petrol
2020 Holden Trax LTZ TJ Auto MY20,"$24,888* ","12,818 km",Automatic,4cyl 1.4L Turbo Petrol
2021 MG HS PHEV Essence Auto FWD MY21,"$47,690 ",550 km,Automatic,1.5T/209kW Hybrid
2017 Porsche Cayenne Diesel Platinum Edition 92A Auto 4x4 MY17,"$94,800 ","80,201 km",Automatic,6cyl 3.0L Turbo Diesel
2021 Audi Q5 45 TFSI Sport Auto quattro ultra MY21,"$89,850 ","2,589 km",Automatic,4cyl 2.0L Turbo Petrol
2016 Kia Sportage GT-Line Auto AWD MY17,"$29,990* ","48,586 km",Automatic,4cyl 2.4L Petrol
2012 Mercedes-Benz R-Class R350 CDI Auto AWD MY11,"$31,900* ","62,690 km",Automatic,6cyl 3.0L Turbo Diesel
2014 Hyundai ix35 SE Auto MY15,"$21,900* ","68,174 km",Automatic,4cyl 2.0L Petrol
2017 BMW X1 sDrive20i F48 Auto,"$42,900 ","46,781 km",Automatic,4cyl 2.0L Turbo Petrol
2017 Hyundai Tucson Active Auto 2WD MY18,"$26,789* ","67,545 km",Automatic,4cyl 2.0L Petrol
2021 Toyota Kluger Grande Auto 2WD,"$76,555* ","11,001 km",Automatic,6cyl 3.5L Petrol
2020 BMW X1 sDrive18d F48 LCI Auto,"$58,900 ","21,854 km",Automatic,4cyl 2.0L Turbo Diesel
2017 Toyota Kluger Grande Auto AWD,"$47,990* ","80,354 km",Automatic,6cyl 3.5L Petrol
2015 Audi SQ5 TDI Auto quattro MY15,"$51,880* ","76,911 km",Automatic,6cyl 3.0L Turbo Diesel
2016 Nissan QASHQAI Ti J11 Auto,"$23,990* ","98,645 km",Automatic,4cyl 2.0L Petrol
2017 BMW X3 xDrive30d G01 Auto 4x4,"$74,900 ","29,224 km",Automatic,6cyl 3.0L Turbo Diesel
2021 Renault Koleos Intens Auto MY21,"$46,952 ",,Automatic,4cyl 2.5L Petrol
2021 Alfa Romeo Stelvio Sport Auto AWD MY21,"$75,372 ",,Automatic,4cyl 2.0L Turbo Petrol
2017 Mazda CX-5 Akera KF Series Auto i-ACTIV AWD,"$35,888* ","87,466 km",Automatic,4cyl 2.5L Petrol
2018 Subaru Outback 2.5i Premium 5GEN Auto AWD MY18,"$40,999* ","48,841 km",Automatic,4cyl 2.5L Petrol
2018 Land Rover Range Rover Sport SDV6 225kW SE Auto 4x4 MY19,"$99,985* ","102,350 km",Automatic,6cyl 3.0L Turbo Diesel
2021 Audi Q5 40 TDI Auto quattro ultra MY21,"$79,850 ","2,158 km",Automatic,4cyl 2.0L Turbo Diesel
2020 Volvo XC90 D5 R-Design Auto AWD MY20,"$99,777* ","5,500 km",Automatic,4cyl 2.0L Turbo Diesel
2017 Nissan X-TRAIL ST-L T32 Series II Auto 2WD,"$25,990* ","78,397 km",Automatic,4cyl 2.5L Petrol
2020 Volkswagen T-Roc 140TSI X A1 Auto 4MOTION MY20,"$46,990* ","26,635 km",Automatic,4cyl 2.0L Turbo Petrol
2016 Audi Q3 TDI Auto quattro MY17,"$35,800* ","60,147 km",Automatic,4cyl 2.0L Turbo Diesel
2018 Audi Q5 TFSI sport Auto quattro ultra MY18,"$57,500* ","33,435 km",Automatic,4cyl 2.0L Turbo Petrol
2021 SKODA Kamiq 110TSI Limited Edition Auto FWD MY21,"$41,840 ",50 km,Automatic,4cyl 1.5L Turbo Petrol
2016 Holden Captiva LTZ CG Auto AWD MY17,"$21,888* ","51,001 km",Automatic,4cyl 2.2L Turbo Diesel
2021 Mercedes-Benz GLS-Class GLS63 AMG Auto 4MATIC+,"$299,900 ","12,000 km",Automatic,8cyl 4.0L Turbo Petrol
2016 Lexus RX RX350 Sports Luxury Auto 4x4,"$66,880* ","57,501 km",Automatic,6cyl 3.5L Petrol
2018 Mazda CX-8 Asaki KG Series Auto i-ACTIV AWD,"$49,990* ","33,932 km",Automatic,4cyl 2.2L Turbo Diesel
2020 Subaru Forester Hybrid S S5 Auto AWD MY20,"$47,900* ","10,889 km",Automatic,2.0i/12kW Hybrid
2021 SKODA Kamiq 110TSI Monte Carlo Auto FWD MY22,"$44,840 ",50 km,Automatic,4cyl 1.5L Turbo Petrol
2018 Hyundai Kona Elite Auto 2WD MY18,"$26,990* ","70,445 km",Automatic,4cyl 2.0L Petrol
