Title,Price,Odometer,Transmission,Engine
2007 Hyundai Santa Fe SLX Auto 4x4 MY07,"$11,490* ","189,826 km",Automatic,4cyl 2.2L Turbo Diesel
2019 Lexus NX NX300 Luxury Auto 2WD,"$57,990* ","20,495 km",Automatic,4cyl 2.0L Turbo Petrol
2014 Mercedes-Benz GL-Class GL350 BlueTEC Auto 4x4,"$49,999* ","122,000 km",Automatic,6cyl 3.0L Turbo Diesel
2010 Volkswagen Tiguan 147TSI 5N Auto 4MOTION MY10,"$15,500* ","88,000 km",Automatic,4cyl 2.0L Turbo Petrol
2017 Toyota Landcruiser Prado GXL Auto 4x4,"$61,000* ","61,300 km",Automatic,4cyl 2.8L Turbo Diesel
2016 Jeep Grand Cherokee Limited Auto 4x4 MY15,"$46,789* ","53,525 km",Automatic,6cyl 3.0L Turbo Diesel
2016 Hyundai Santa Fe Highlander Auto 4x4 MY16,"$38,250* ","81,349 km",Automatic,4cyl 2.2L Turbo Diesel
2020 Nissan JUKE ST+ F16 Auto 2WD,"$28,990* ","5,647 km",Automatic,3cyl 1.0L Turbo Petrol
2018 Audi SQ5 Auto quattro MY18,"$74,500* ","72,545 km",Automatic,6cyl 3.0L Turbo Petrol
2020 Ford Everest Titanium UA II Auto 4WD MY20.75,"$68,000* ","37,505 km",Automatic,4cyl 2.0L Turbo Diesel
2016 Toyota Fortuner Crusade Auto 4x4,"$51,990* ","106,699 km",Automatic,4cyl 2.8L Turbo Diesel
2021 Haval H6 Lux Auto,"$35,485 ",,Automatic,4cyl 2.0L Turbo Petrol
2014 Nissan X-TRAIL ST-L T32 Auto 2WD,"$20,500* ","89,215 km",Automatic,4cyl 2.5L Petrol
2010 Land Rover Range Rover Vogue Autobiography Black Auto 4x4 MY11,"$87,000* ","176,009 km",Automatic,8cyl 5.0L S Petrol
2017 Mercedes-Benz GLC-Class GLC350 d Auto 4MATIC,"$65,789* ","112,968 km",Automatic,6cyl 3.0L Turbo Diesel
2020 Audi Q3 35 TFSI Launch Edition Auto MY20,"$62,000* ","21,000 km",Automatic,4cyl 1.4L Turbo Petrol
2018 Toyota Kluger Grande Auto AWD,"$54,880* ","72,665 km",Automatic,6cyl 3.5L Petrol
2021 Subaru XV 2.0i G5X Auto AWD MY21,"$33,250* ",700 km,Automatic,4cyl 2.0L Petrol
2017 BMW X3 xDrive20d G01 Auto 4x4,"$62,900 ","26,987 km",Automatic,4cyl 2.0L Turbo Diesel
2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic Auto 4x4 MY17,"$62,750* ","94,294 km",Automatic,4cyl 2.0L Turbo Diesel
2016 Toyota FJ Cruiser Auto 4x4 MY14,"$52,990* ","113,748 km",Automatic,6cyl 4.0L Petrol
2016 BMW X1 sDrive18d F48 Auto,"$38,990* ","34,928 km",Automatic,4cyl 2.0L Turbo Diesel
2012 Ford Territory Titanium SZ Auto,"$19,990* ","65,000 km",Automatic,6cyl 4.0L Petrol
2017 Porsche Macan S Diesel 95B Auto AWD MY18,"$88,000* ","37,000 km",Automatic,6cyl 3.0L Turbo Diesel
2017 BMW X4 xDrive35d F26 Auto 4x4,"$62,000* ","67,000 km",Automatic,6cyl 3.0L Turbo Diesel
2014 BMW X5 xDrive35i F15 Auto 4x4,"$60,900 ","61,643 km",Automatic,6cyl 3.0L Turbo Petrol
2017 Audi SQ7 TDI Auto 4WD MY17,"$129,990* ","54,153 km",Automatic,8cyl 4.0L Diesel
2004 Toyota Landcruiser GXL Auto 4x4,"$38,000* ","350,314 km",Automatic,6cyl 4.2L Turbo Diesel
2015 Honda HR-V VTi-S Auto MY15,"$23,500* ","45,730 km",Automatic,4cyl 1.8L Petrol
2013 Land Rover Discovery 4 SDV6 HSE Auto 4x4 MY13,"$52,000* ","147,000 km",Automatic,6cyl 3.0L Turbo Diesel
2021 MG ZST Vibe Auto MY21,"$26,000* ","7,000 km",Automatic,4cyl 1.5L Petrol
2021 Volkswagen Touareg 210TDI Elegance CR Auto 4MOTION MY21,"$125,888 ",,Automatic,6cyl 3.0L Turbo Diesel
2016 Hyundai Santa Fe Highlander Auto 4x4 MY17,"$36,888* ","45,500 km",Automatic,4cyl 2.2L Turbo Diesel
2014 Holden Captiva 7 LTZ CG Auto AWD MY14,"$17,000* ","76,955 km",Automatic,6cyl 3.0L Petrol
2021 Mazda CX-5 Maxx Sport KF Series Auto FWD,"$40,689 ",,Automatic,4cyl 2.0L Petrol
2004 Mitsubishi Pajero Exceed NP Auto 4x4 MY05,"$15,000* ","311,630 km",Automatic,6cyl 3.8L Petrol
2019 Jeep Grand Cherokee SRT Auto 4x4 MY19,"$112,500 ","26,000 km",Automatic,8cyl 6.4L Petrol
2014 Toyota Landcruiser Prado Kakadu Auto 4x4 MY14,"$55,990* ","103,600 km",Automatic,4cyl 3.0L Turbo Diesel
2019 Toyota Landcruiser Sahara Auto 4x4,"$135,000* ","68,172 km",Automatic,8cyl 4.5L Turbo Diesel
2015 BMW X3 xDrive30d F25 LCI Auto 4x4,"$42,120* ","74,500 km",Automatic,6cyl 3.0L Turbo Diesel
2021 Audi Q5 45 TFSI Sport Auto quattro ultra MY21,"$91,850 ","2,142 km",Automatic,4cyl 2.0L Turbo Petrol
2020 Volkswagen Tiguan 132TSI Comfortline Allspace 5N Auto 4MOTION MY20,"$50,800* ","13,040 km",Automatic,4cyl 2.0L Turbo Petrol
2021 Suzuki Ignis GLX Auto,"$23,990 ",,Automatic,4cyl 1.2L Petrol
2015 Toyota Landcruiser Prado GXL Auto 4x4,"$62,900* ","72,000 km",Automatic,4cyl 2.8L Turbo Diesel
2021 Renault Captur Intens Auto,"$41,222 ",,Automatic,4cyl 1.3L Turbo Petrol
2015 Land Rover Discovery Sport Si4 SE Auto 4x4 MY16,"$41,000* ","71,588 km",Automatic,4cyl 2.0L Turbo Petrol
2020 Mercedes-Benz GLE-Class GLE450 Auto 4MATIC,"$138,880* ","47,806 km",Automatic,6cyl 3.0L Turbo Petrol
2018 BMW X3 sDrive20i G01 Auto,"$57,950* ","43,900 km",Automatic,4cyl 2.0L Turbo Petrol
2014 Hyundai Santa Fe Highlander Auto 4x4 MY14,"$29,990* ","82,994 km",Automatic,4cyl 2.2L Turbo Diesel
2020 Volkswagen Tiguan 162TSI Highline Allspace 5N Auto 4MOTION MY20,"$69,880* ","15,724 km",Automatic,4cyl 2.0L Turbo Petrol
2015 Lexus NX NX200t F Sport Auto AWD,"$42,500* ","77,000 km",Automatic,4cyl 2.0L Turbo Petrol
2021 Mazda CX-5 Maxx Sport KF Series Auto FWD,"$40,689 ",,Automatic,4cyl 2.0L Petrol
2003 Toyota Landcruiser Prado GXL Auto 4x4,"$19,990* ","275,178 km",Automatic,6cyl 4.0L Petrol
2018 Volkswagen Tiguan 162TSI Highline 5N Auto 4MOTION MY18,"$52,800* ","51,488 km",Automatic,4cyl 2.0L Turbo Petrol
2017 Mitsubishi Outlander Exceed ZK Auto 4WD MY17,"$28,880* ","67,000 km",Automatic,4cyl 2.4L Petrol
2015 Fiat Freemont Lounge Auto MY15,"$16,500* ","73,000 km",Automatic,4cyl 2.4L Petrol
2019 Audi Q5 45 TFSI sport Auto quattro ultra MY19,"$74,900 ","31,201 km",Automatic,4cyl 2.0L Turbo Petrol
2010 Audi Q7 TDI Auto quattro MY11,"$23,000* ","152,428 km",Automatic,6cyl 3.0L Turbo Diesel
2021 Audi Q5 45 TFSI Auto quattro ultra MY22,"$82,888* ",174 km,Automatic,4cyl 2.0L Turbo Petrol
2021 Audi Q5 40 TDI Auto quattro ultra MY21,"$79,888 ",188 km,Automatic,4cyl 2.0L Turbo Diesel
2016 Honda CR-V VTi-L Auto MY17,"$28,850* ","55,923 km",Automatic,4cyl 2.0L Petrol
2017 Renault Koleos Intens Auto 4WD,"$31,555* ","46,178 km",Automatic,4cyl 2.5L Petrol
2015 Nissan Pathfinder ST R52 Auto 2WD MY15,"$25,990* ","71,358 km",Automatic,6cyl 3.5L Petrol
2017 Maserati Levante Sport Auto MY17,"$95,000* ","49,500 km",Automatic,6cyl 3.0L Turbo Diesel
2017 Lexus RX RX350 Luxury Auto 4x4,"$64,990* ","29,093 km",Automatic,6cyl 3.5L Petrol
2018 Mazda CX-5 Akera KF Series Auto i-ACTIV AWD,"$39,789* ","74,949 km",Automatic,4cyl 2.2L Turbo Diesel
2021 Hyundai Kona Highlander Auto 2WD MY21,"$38,888* ","1,451 km",Automatic,4cyl 2.0L Petrol
2017 Mercedes-Benz GLE-Class GLE63 AMG S Auto 4MATIC,"$173,000* ","38,000 km",Automatic,8cyl 5.5L Turbo Petrol
2021 Toyota Landcruiser Sahara Auto 4x4,"$235,000* ",95 km,Automatic,8cyl 4.5L Turbo Diesel
2020 BMW X5 M Competition F95 Auto M xDrive,"$198,000 ","18,022 km",Automatic,8cyl 4.4L Turbo Petrol
2017 Land Rover Range Rover Velar D240 R-Dynamic SE Auto AWD MY18,"$98,000* ","35,053 km",Automatic,4cyl 2.0L Turbo Diesel
2014 Land Rover Discovery TDV6 Auto 4x4 MY14,"$59,500* ","55,502 km",Automatic,6cyl 3.0L Turbo Diesel
2014 Volvo XC90 R-Design Auto 4WD MY14,"$28,900* ","71,400 km",Automatic,6cyl 3.2L Petrol
2017 BMW X3 xDrive30d G01 Auto 4x4,"$59,900 ","98,937 km",Automatic,6cyl 3.0L Turbo Diesel
2021 Mazda MX-30 G20e Evolve DR Series Auto,"$39,477 ",,Automatic,4cyl 2.0L Petrol
2021 Subaru Forester 2.5i S5 Auto AWD MY21,"$38,990* ","16,192 km",Automatic,4cyl 2.5L Petrol
2016 Toyota Kluger GXL Auto 2WD,"$33,888* ","102,955 km",Automatic,6cyl 3.5L Petrol
2021 Mazda CX-5 Akera KF Series Auto i-ACTIV AWD,"$52,500* ","13,987 km",Automatic,4cyl 2.5L Petrol
2021 Audi Q5 40 TDI Sport Auto quattro ultra MY22,"$84,888* ",188 km,Automatic,4cyl 2.0L Turbo Diesel
2013 Hyundai Santa Fe Active Auto 4x4 MY13,"$16,999* ","149,000 km",Automatic,4cyl 2.4L Petrol
2019 Porsche Cayenne 9YA Auto 4x4 MY19,"$157,000* ","24,800 km",Automatic,6cyl 3.0L Turbo Petrol
2021 Jeep Wrangler Unlimited Overland Auto 4x4 MY21,"$71,000* ","7,000 km",Automatic,6cyl 3.6L Petrol
2020 Land Rover Discovery SD4 SE Auto 4x4 MY20,"$99,000* ","25,500 km",Automatic,4cyl 2.0L Turbo Diesel
2015 Toyota Kluger GXL Auto AWD,"$40,000* ","42,500 km",Automatic,6cyl 3.5L Petrol
2013 Suzuki Jimny Sierra Auto 4x4 MY13,"$28,750* ","32,600 km",Automatic,4cyl 1.3L Petrol
2016 Mercedes-Benz GLC-Class GLC43 AMG Auto 4MATIC,"$74,000* ","55,500 km",Automatic,6cyl 3.0L Turbo Petrol
2019 Toyota Landcruiser Prado GXL Auto 4x4,"$70,300* ","44,500 km",Automatic,4cyl 2.8L Turbo Diesel
2021 Toyota Landcruiser Prado VX Auto 4x4,"$96,000* ",5 km,Automatic,4cyl 2.8L Turbo Diesel
2019 Nissan X-TRAIL Ti T32 Series II Auto 4WD,"$35,500* ","48,000 km",Automatic,4cyl 2.5L Petrol
2014 Hyundai ix35 Elite Auto,"$19,499* ","75,500 km",Automatic,4cyl 2.0L Petrol
2015 Lexus RX RX450h Sports Luxury Auto 4x4,"$61,980* ","60,000 km",Automatic,3.5i Hybrid
2002 Toyota Landcruiser GXL Manual 4x4,"$49,500* ","311,000 km",Manual,6cyl 4.2L Turbo Diesel
2017 Mercedes-Benz GLC-Class GLC250 d Auto 4MATIC,"$76,800* ","27,127 km",Automatic,4cyl 2.1L Turbo Diesel
2019 Toyota C-HR Koba Auto AWD,"$40,000* ","61,528 km",Automatic,4cyl 1.2L Turbo Petrol
2017 Tesla Model X 100D Auto AWD,"$155,990* ","56,000 km",AC330kW,Electric (range: 565 km)
2007 Toyota RAV4 Cruiser Auto 4x4,"$15,999* ","159,430 km",Automatic,4cyl 2.4L Petrol
2019 Toyota Landcruiser VX Auto 4x4,"$122,000* ","22,000 km",Automatic,8cyl 4.5L Turbo Diesel
2016 Toyota Landcruiser Sahara Auto 4x4,"$113,800* ","51,176 km",Automatic,8cyl 4.5L Turbo Diesel
2021 Toyota Landcruiser GXL Auto 4x4,"$124,900* ",156 km,Automatic,8cyl 4.5L Turbo Diesel
2021 Hyundai Tucson N Line Auto 2WD MY22,"$39,990 ","2,199 km",Automatic,4cyl 2.0L Petrol
2015 BMW X5 xDrive50i F15 Auto 4x4,"$57,990* ","116,000 km",Automatic,8cyl 4.4L Turbo Petrol
2007 Toyota Landcruiser Prado Grande Auto 4x4,"$19,200* ","278,000 km",Automatic,6cyl 4.0L Petrol
2015 Jeep Renegade Trailhawk Auto AWD MY16,"$26,000* ","75,000 km",Automatic,4cyl 2.4L Petrol
2017 Toyota Kluger Grande Auto AWD,"$52,300* ","48,900 km",Automatic,6cyl 3.5L Petrol
2021 Mercedes-Benz GLE-Class GLE63 AMG S Auto 4MATIC+,"$269,986* ","2,137 km",Automatic,8cyl 4.0L Turbo Petrol
2012 Kia Sportage Si Auto MY12,"$14,000* ","104,212 km",Automatic,4cyl 2.0L Petrol
2016 Mercedes-Benz GLE-Class GLE250 d Auto 4MATIC,"$46,500* ","175,000 km",Automatic,4cyl 2.1L Turbo Diesel
2016 Volkswagen Passat 140TDI Alltrack B8 Auto 4MOTION MY17,"$23,000* ","195,000 km",Automatic,4cyl 2.0L Turbo Diesel
2021 Land Rover Range Rover D350 Westminster Black Auto 4x4 MY21.5,"$288,888* ","8,450 km",Automatic,6cyl 3.0L Turbo Diesel
2017 Hyundai Tucson Active X Auto 2WD MY17,"$27,990* ","45,800 km",Automatic,4cyl 2.0L Petrol
2016 Nissan X-TRAIL ST T32 Auto 2WD,"$23,995* ","61,069 km",Automatic,4cyl 2.5L Petrol
2012 Suzuki Grand Vitara Urban Manual 2WD MY13,"$12,900* ","143,993 km",Manual,4cyl 2.4L Petrol
2013 Jeep Grand Cherokee SRT Auto 4x4 MY14,"$46,000* ","173,401 km",Automatic,8cyl 6.4L Petrol
2017 Volkswagen Tiguan 110TSI Comfortline 5N Auto 2WD MY18,"$36,500* ","29,800 km",Automatic,4cyl 1.4L Turbo Petrol
2021 Audi Q2 35 TFSI Auto MY22,"$55,999* ","1,970 km",Automatic,4cyl 1.5L Turbo Petrol
2019 Volkswagen Tiguan 132TSI Comfortline Allspace 5N Auto 4MOTION MY19.5,"$42,500* ","47,339 km",Automatic,4cyl 2.0L Turbo Petrol
2012 Mercedes-Benz M-Class ML350 BlueTEC Auto 4x4,"$32,500* ","176,689 km",Automatic,6cyl 3.0L Turbo Diesel
2013 BMW X6 xDrive30d E71 LCI Auto 4x4 MY13,"$39,900* ","150,800 km",Automatic,6cyl 3.0L Turbo Diesel
2018 Audi Q7 TDI Auto quattro MY18,"$82,985* ","36,890 km",Automatic,6cyl 3.0L Turbo Diesel
2015 Jeep Grand Cherokee SRT Auto 4x4 MY15,"$73,000* ","60,684 km",Automatic,8cyl 6.4L Petrol
2002 Honda CR-V Sport Auto 4WD MY02,"$5,100* ","173,000 km",Automatic,4cyl 2.4L Petrol
2020 Toyota Landcruiser Sahara Auto 4x4,"$145,000* ","8,800 km",Automatic,8cyl 4.5L Turbo Diesel
2012 BMW X5 xDrive30d E70 Auto 4x4 MY12,"$24,999* ","198,000 km",Automatic,6cyl 3.0L Turbo Diesel
2017 Holden Trax LTZ TJ Auto MY17,"$18,999* ","95,550 km",Automatic,4cyl 1.4L Turbo Petrol
2021 Toyota Landcruiser Prado GXL Auto 4x4,"$95,000* ","1,789 km",Automatic,4cyl 2.8L Turbo Diesel
2020 Alfa Romeo Stelvio Sport Auto AWD MY20,"$79,517 ",20 km,Automatic,4cyl 2.0L Turbo Petrol
2014 Toyota Kluger GX Auto 2WD,"$31,800* ","74,000 km",Automatic,6cyl 3.5L Petrol
2013 Kia Sportage Platinum Auto 4x4 MY13,"$19,999* ","86,000 km",Automatic,4cyl 2.0L Turbo Diesel
2012 Mitsubishi Outlander LS ZJ Auto 2WD MY13,"$14,880* ","115,751 km",Automatic,4cyl 2.0L Petrol
2019 BMW X5 M50i G05 Auto 4x4,"$150,000* ","16,000 km",Automatic,8cyl 4.4L Turbo Petrol
2017 Holden Trax LT TJ Auto MY18,"$20,500* ","59,000 km",Automatic,4cyl 1.4L Turbo Petrol
2014 Jeep Grand Cherokee Laredo Auto 4x4 MY15,"$23,000* ","154,380 km",Automatic,6cyl 3.0L Turbo Diesel
2017 Mazda CX-3 Maxx DK Auto,"$21,500* ","84,000 km",Automatic,4cyl 1.5L Turbo Diesel
2011 Ford Territory TS Limited Edition SY MKII Auto RWD,"$20,990* ","56,982 km",Automatic,6cyl 4.0L Petrol
2018 Kia Sportage GT-Line Auto AWD MY19,"$39,990* ","82,000 km",Automatic,4cyl 2.0L Turbo Diesel
2013 Audi Q3 TFSI Auto quattro MY13,"$19,900* ","107,800 km",Automatic,4cyl 2.0L Turbo Petrol
2016 Mazda CX-3 sTouring DK Auto,"$24,600* ","80,000 km",Automatic,4cyl 2.0L Petrol
2018 Volkswagen Tiguan 162TSI Highline 5N Auto 4MOTION MY19,"$52,888* ","54,500 km",Automatic,4cyl 2.0L Turbo Petrol
2018 Toyota Landcruiser Sahara Auto 4x4,"$115,250* ","97,500 km",Automatic,8cyl 4.5L Turbo Diesel
2013 BMW X5 xDrive30d F15 Auto 4x4,"$39,950* ","141,000 km",Automatic,6cyl 3.0L Turbo Diesel
2017 Nissan QASHQAI ST J11 Auto,"$21,500* ","52,265 km",Automatic,4cyl 2.0L Petrol
2017 Toyota Landcruiser Sahara Auto 4x4,"$116,066* ","68,158 km",Automatic,8cyl 4.5L Turbo Diesel
2013 BMW X3 xDrive20d F25 Auto 4x4 MY13,"$22,000* ","146,000 km",Automatic,4cyl 2.0L Turbo Diesel
2014 Audi RS Q3 Auto quattro MY14,"$50,000* ","67,250 km",Automatic,5cyl 2.5L Turbo Petrol
2014 Nissan QASHQAI Ti J11 Manual,"$17,600* ","188,500 km",Manual,4cyl 2.0L Petrol
2013 Audi Q5 TDI Auto quattro MY13,"$26,000* ","123,000 km",Automatic,6cyl 3.0L Turbo Diesel
2017 Mazda CX-9 Azami TC Auto,"$46,000* ","75,000 km",Automatic,4cyl 2.5L Turbo Petrol
2020 Kia Seltos Sport Auto 2WD MY20,"$26,700* ","19,903 km",Automatic,4cyl 2.0L Petrol
2019 Audi Q7 45 TDI Auto quattro MY19,"$84,990* ","19,812 km",Automatic,6cyl 3.0L Turbo Diesel
2019 BMW X5 xDrive30d M Sport G05 Auto 4x4,"$115,000* ","21,612 km",Automatic,6cyl 3.0L Turbo Diesel
2016 Nissan JUKE ST F15 Series 2 Auto 2WD,"$21,500* ","26,822 km",Automatic,4cyl 1.6L Petrol
2014 Mercedes-Benz GL-Class GL63 AMG Auto 4x4,"$69,999* ","115,000 km",Automatic,8cyl 5.5L Turbo Petrol
2015 Mercedes-Benz M-Class ML250 BlueTEC Auto 4x4 MY15,"$44,950* ","41,000 km",Automatic,4cyl 2.1L Turbo Diesel
2016 Holden Trax LS TJ Auto MY16,"$12,999* ","94,000 km",Automatic,4cyl 1.8L Petrol
2021 BMW X3 sDrive20i G01 Auto,"$75,500* ","4,000 km",Automatic,4cyl 2.0L Turbo Petrol
2009 BMW X6 xDrive50i E71 Auto 4x4,"$31,000* ","105,000 km",Automatic,8cyl 4.4L Turbo Petrol
2019 Audi Q5 45 TFSI sport Black Edition Auto quattro ultra MY19,"$69,950* ","38,100 km",Automatic,4cyl 2.0L Turbo Petrol
2013 Nissan Patrol DX Y61 Manual 4x4,"$39,500* ","64,652 km",Manual,4cyl 3.0L Turbo Diesel
2016 Subaru XV 2.0i-S G4X Auto AWD MY16,"$26,500* ","84,500 km",Automatic,4cyl 2.0L Petrol
2013 Nissan Dualis Ti-L J10 Series 4 Auto 2WD MY13,"$18,500* ","69,000 km",Automatic,4cyl 2.0L Petrol
2013 Mercedes-Benz GL-Class GL350 BlueTEC Auto 4x4,"$49,000* ","165,000 km",Automatic,6cyl 3.0L Turbo Diesel
2018 Maserati Levante GranSport Auto MY18,"$124,000* ","27,606 km",Automatic,6cyl 3.0L Turbo Diesel
2015 Mazda CX-5 Grand Touring KE Series 2 Auto AWD,"$26,400* ","90,350 km",Automatic,4cyl 2.5L Petrol
2003 Ford Explorer XLT UZ Auto 4x4,"$5,000* ","218,000 km",Automatic,6cyl 4.0L Petrol
2009 Porsche Cayenne Diesel 9PA Auto 4x4 MY09,"$27,500* ","238,207 km",Automatic,6cyl 3.0L Turbo Diesel
2015 Honda CR-V VTi-S Auto 4WD MY16,"$26,000* ","83,000 km",Automatic,4cyl 2.4L Petrol
1999 Toyota Landcruiser Prado Grande Auto 4x4,"$17,500* ","202,950 km",Automatic,6cyl 3.4L Petrol
2016 Mercedes-Benz GLE-Class GLE350 d Auto 4MATIC,"$56,999* ","97,909 km",Automatic,6cyl 3.0L Turbo Diesel
2011 Volkswagen Touareg V6 TDI 7P Auto 4MOTION MY12,"$25,500* ","152,000 km",Automatic,6cyl 3.0L Turbo Diesel
2017 Nissan JUKE Ti-S F15 Series 2 Auto AWD,"$25,900* ","5,400 km",Automatic,4cyl 1.6L Turbo Petrol
2009 Subaru Forester XS Premium S3 Auto AWD MY10,"$16,000* ","95,484 km",Automatic,4cyl 2.5L Petrol
1990 Toyota Landcruiser Troopcarrier Manual 4x4,"$22,000* ","432,564 km",Manual,6cyl 4.2L Diesel
2017 Haval H6 LUX Auto,"$20,990* ","47,888 km",Automatic,4cyl 2.0L Turbo Petrol
2017 Jeep Wrangler Overland Auto 4x4 MY17,"$52,000* ","16,100 km",Automatic,6cyl 3.6L Petrol
2013 Mercedes-Benz GL-Class GL350 BlueTEC Auto 4x4,"$48,000* ","113,126 km",Automatic,6cyl 3.0L Turbo Diesel
2021 Volvo XC60 T5 Momentum Auto AWD MY21,"$69,777* ","9,458 km",Automatic,4cyl 2.0L Turbo Petrol
2021 BMW X4 xDrive20i M Sport G02 Auto 4x4,"$94,888 ","1,857 km",Automatic,4cyl 2.0L Turbo Petrol
2020 Toyota RAV4 Cruiser Auto eFour,"$55,500* ","21,100 km",Automatic,2.5i/163kW Hybrid
2021 Hyundai Venue Elite Auto MY21,"$27,990 ","2,131 km",Automatic,4cyl 1.6L Petrol
2007 Land Rover Discovery 3 SE Auto 4x4,"$16,000* ","308,318 km",Automatic,6cyl 4.0L Petrol
2021 Toyota Landcruiser VX Auto 4x4,"$130,000* ","9,247 km",Automatic,8cyl 4.5L Turbo Diesel
2014 Holden Trax LTZ TJ Auto MY14,"$15,950* ","62,500 km",Automatic,4cyl 1.8L Petrol
2014 Toyota FJ Cruiser Auto 4x4 MY14,"$35,500* ","249,603 km",Automatic,6cyl 4.0L Petrol
2017 Subaru Forester 2.5i-L Special Edition S4 Auto AWD MY18,"$32,000* ","51,081 km",Automatic,4cyl 2.5L Petrol
2016 Land Rover Range Rover Evoque TD4 150 SE Auto 4x4 MY17,"$49,000* ","67,000 km",Automatic,4cyl 2.0L Turbo Diesel
2015 Holden Captiva 7 LTZ CG Auto AWD MY15,"$18,999* ","54,921 km",Automatic,6cyl 3.0L Petrol
2014 Nissan Pathfinder Ti R52 Auto 4WD MY14,"$31,990* ","41,000 km",Automatic,6cyl 3.5L Petrol
2021 Mazda CX-9 Azami LE TC Auto i-ACTIV AWD,"$64,999* ","1,500 km",Automatic,4cyl 2.5L Turbo Petrol
2016 Mercedes-Benz GLA-Class GLA250 Auto 4MATIC,"$43,500* ","42,950 km",Automatic,4cyl 2.0L Turbo Petrol
2001 Toyota Landcruiser Prado Grande Auto 4x4,"$17,800* ","324,568 km",Automatic,4cyl 3.0L Turbo Diesel
2017 BMW X3 xDrive20d F25 LCI Auto 4x4,"$49,500* ","56,500 km",Automatic,4cyl 2.0L Turbo Diesel
2010 BMW X6 xDrive35d E71 Auto 4x4 MY10,"$29,000* ","164,448 km",Automatic,6cyl 3.0L Turbo Diesel
2017 Audi Q5 TDI sport Auto quattro ultra MY18,"$48,000* ","79,752 km",Automatic,4cyl 2.0L Turbo Diesel
2017 Audi SQ7 TDI Auto 4WD MY17,"$120,000* ","40,471 km",Automatic,8cyl 4.0L Diesel
2018 Toyota Landcruiser Prado GXL Auto 4x4,"$67,999* ","41,384 km",Automatic,4cyl 2.8L Turbo Diesel
2015 Volvo XC90 T6 Inscription Auto AWD MY16,"$48,750* ","135,000 km",Automatic,4cyl 2.0L TSPetrol
2016 Jeep Grand Cherokee Overland Auto 4x4 MY15,"$42,000* ","78,000 km",Automatic,6cyl 3.0L Turbo Diesel
2010 Land Rover Range Rover Sport Super Charged Auto 4x4 MY10,"$35,000* ","120,000 km",Automatic,8cyl 5.0L S Petrol
2017 Mercedes-Benz GLS-Class GLS350 d Auto 4MATIC,"$88,000* ","128,440 km",Automatic,6cyl 3.0L Turbo Diesel
2013 Land Rover Range Rover Sport SDV6 Luxury Auto 4x4 MY13,"$49,990* ","180,000 km",Automatic,6cyl 3.0L Turbo Diesel
2013 Nissan Dualis ST J10 Series 3 Auto 2WD MY12,"$13,750* ","99,000 km",Automatic,4cyl 2.0L Petrol
2014 BMW X4 xDrive30d F26 Auto 4x4,"$42,000* ","80,000 km",Automatic,6cyl 3.0L Turbo Diesel
2013 Audi Q5 TDI Auto quattro MY14,"$22,000* ","175,500 km",Automatic,6cyl 3.0L Turbo Diesel
2013 Holden Captiva 7 SX CG Auto MY13,"$13,900* ","66,952 km",Automatic,4cyl 2.4L Petrol
2006 Ford Territory Ghia SY Auto AWD,"$9,500* ","133,000 km",Automatic,6cyl 4.0L Petrol
2011 Volkswagen Tiguan 103TDI 5N Auto 4MOTION MY11,"$12,000* ","180,000 km",Automatic,4cyl 2.0L Turbo Diesel
2016 Mitsubishi Outlander LS ZK Auto 2WD MY16,"$25,000* ","47,293 km",Automatic,4cyl 2.0L Petrol
2018 Toyota Kluger GX Auto 2WD,"$39,900* ","19,700 km",Automatic,6cyl 3.5L Petrol
2018 Mazda CX-5 GT KF Series Auto i-ACTIV AWD,"$41,500* ","56,700 km",Automatic,4cyl 2.5L Petrol
2017 Maserati Levante Auto MY17,"$78,800* ","75,314 km",Automatic,6cyl 3.0L Turbo Diesel
2017 Suzuki Vitara S Turbo Auto 4WD,"$19,000* ","119,400 km",Automatic,4cyl 1.4L Turbo Petrol
2017 Hyundai Tucson Elite Auto 2WD MY18,"$25,500* ","111,000 km",Automatic,4cyl 2.0L Petrol
2020 Audi SQ8 TDI Auto quattro MY20,"$189,000* ","55,000 km",Automatic,8cyl 4.0L Diesel
2021 Suzuki Jimny GLX Manual 4x4,"$42,500* ","1,700 km",Manual,4cyl 1.5L Petrol
2016 Volkswagen Golf Alltrack 132TSI 7 Auto 4MOTION MY16,"$27,500* ","81,000 km",Automatic,4cyl 1.8L Turbo Petrol
2001 Toyota Landcruiser Standard Manual 4x4,"$70,000* ","76,000 km",Manual,6cyl 4.2L Diesel
2018 Toyota Landcruiser Sahara Auto 4x4,"$110,000* ","145,000 km",Automatic,8cyl 4.5L Turbo Diesel
2013 Mercedes-Benz M-Class ML250 BlueTEC Auto 4x4,"$43,000* ","69,000 km",Automatic,4cyl 2.1L Turbo Diesel
2016 Nissan QASHQAI Ti J11 Auto,"$29,880* ","4,195 km",Automatic,4cyl 2.0L Petrol
2019 Kia Sportage S Auto 2WD MY20,"$29,888* ","70,467 km",Automatic,4cyl 2.0L Petrol
2017 Mitsubishi ASX XLS XC Auto 2WD MY18,"$27,888* ","43,539 km",Automatic,4cyl 2.0L Petrol
2016 Subaru XV 2.0i G4X Auto AWD MY16,"$25,777* ","37,381 km",Automatic,4cyl 2.0L Petrol
